Item,Language,Participant,Gender,Age,Rating,Bias
ticket seller,Hungarian,hu_1,male,25-35,0,female
ticket seller,Hungarian,hu_2,male,45-55,-1,female
ticket seller,Hungarian,hu_3,male,25-35,0,female
ticket seller,Hungarian,hu_4,male,35-45,2,female
ticket seller,Hungarian,hu_5,male,25-35,0,female
ticket seller,Hungarian,hu_6,male,25-35,1,female
ticket seller,Hungarian,hu_7,female,35-45,0,female
ticket seller,Hungarian,hu_8,female,45-55,1,female
ticket seller,Hungarian,hu_9,male,25-35,2,female
ticket seller,Hungarian,hu_11,female,45-55,0,female
ticket seller,Hungarian,hu_12,male,25-35,0,female
ticket seller,Hungarian,hu_14,female,25-35,0,female
ticket seller,Hungarian,hu_15,female,35-45,0,female
ticket seller,Hungarian,hu_16,female,25-35,0,female
ticket seller,Hungarian,hu_17,female,45-55,0,female
ticket seller,Hungarian,hu_18,female,45-55,0,female
ticket seller,Hungarian,hu_19,female,25-35,0,female
ticket seller,Hungarian,hu_20,female,25-35,-1,female
ticket seller,Hungarian,hu_21,female,25-35,0,female
ticket seller,Hungarian,hu_22,male,25-35,0,female
ticket seller,Hungarian,hu_23,male,25-35,0,female
ticket seller,Hungarian,hu_24,male,25-35,1,female
firefighter,Hungarian,hu_1,male,25-35,-2,male
firefighter,Hungarian,hu_2,male,45-55,-3,male
firefighter,Hungarian,hu_3,male,25-35,0,male
firefighter,Hungarian,hu_4,male,35-45,-2,male
firefighter,Hungarian,hu_5,male,25-35,-2,male
firefighter,Hungarian,hu_6,male,25-35,-3,male
firefighter,Hungarian,hu_7,female,35-45,-2,male
firefighter,Hungarian,hu_8,female,45-55,-3,male
firefighter,Hungarian,hu_9,male,25-35,-2,male
firefighter,Hungarian,hu_11,female,45-55,-2,male
firefighter,Hungarian,hu_12,male,25-35,-2,male
firefighter,Hungarian,hu_14,female,25-35,-2,male
firefighter,Hungarian,hu_15,female,35-45,-2,male
firefighter,Hungarian,hu_16,female,25-35,-3,male
firefighter,Hungarian,hu_17,female,45-55,-3,male
firefighter,Hungarian,hu_18,female,45-55,-1,male
firefighter,Hungarian,hu_19,female,25-35,-3,male
firefighter,Hungarian,hu_20,female,25-35,-3,male
firefighter,Hungarian,hu_21,female,25-35,-2,male
firefighter,Hungarian,hu_22,male,25-35,-2,male
firefighter,Hungarian,hu_23,male,25-35,-3,male
firefighter,Hungarian,hu_24,male,25-35,-3,male
engineer,Hungarian,hu_1,male,25-35,-2,male
engineer,Hungarian,hu_2,male,45-55,-1,male
engineer,Hungarian,hu_3,male,25-35,-1,male
engineer,Hungarian,hu_4,male,35-45,-2,male
engineer,Hungarian,hu_5,male,25-35,0,male
engineer,Hungarian,hu_6,male,25-35,0,male
engineer,Hungarian,hu_7,female,35-45,-1,male
engineer,Hungarian,hu_8,female,45-55,-2,male
engineer,Hungarian,hu_9,male,25-35,-2,male
engineer,Hungarian,hu_11,female,45-55,0,male
engineer,Hungarian,hu_12,male,25-35,-2,male
engineer,Hungarian,hu_14,female,25-35,0,male
engineer,Hungarian,hu_15,female,35-45,-1,male
engineer,Hungarian,hu_16,female,25-35,-1,male
engineer,Hungarian,hu_17,female,45-55,-2,male
engineer,Hungarian,hu_18,female,45-55,0,male
engineer,Hungarian,hu_19,female,25-35,-1,male
engineer,Hungarian,hu_20,female,25-35,-2,male
engineer,Hungarian,hu_21,female,25-35,-1,male
engineer,Hungarian,hu_22,male,25-35,-2,male
engineer,Hungarian,hu_23,male,25-35,-2,male
engineer,Hungarian,hu_24,male,25-35,-1,male
director,Hungarian,hu_1,male,25-35,0,male
director,Hungarian,hu_2,male,45-55,-1,male
director,Hungarian,hu_3,male,25-35,0,male
director,Hungarian,hu_4,male,35-45,-1,male
director,Hungarian,hu_5,male,25-35,0,male
director,Hungarian,hu_6,male,25-35,-1,male
director,Hungarian,hu_7,female,35-45,-1,male
director,Hungarian,hu_8,female,45-55,-2,male
director,Hungarian,hu_9,male,25-35,-2,male
director,Hungarian,hu_11,female,45-55,0,male
director,Hungarian,hu_12,male,25-35,-1,male
director,Hungarian,hu_14,female,25-35,0,male
director,Hungarian,hu_15,female,35-45,-1,male
director,Hungarian,hu_16,female,25-35,-1,male
director,Hungarian,hu_17,female,45-55,-2,male
director,Hungarian,hu_18,female,45-55,0,male
director,Hungarian,hu_19,female,25-35,-1,male
