Item,Language,Participant,Participant,Gender,Age,Rating
,Hungarian,hu_16,,female,25-35,3
,Hungarian,hu_17,,female,45-55,3
,Hungarian,hu_18,,female,45-55,1
,Hungarian,hu_19,,female,25-35,1
,Hungarian,hu_20,,female,25-35,2
,Hungarian,hu_21,,female,25-35,2
,Hungarian,hu_22,,male,25-35,1
,Hungarian,hu_23,,male,25-35,2
,Hungarian,hu_24,,male,25-35,3
,Hungarian,hu_25,,male,25-35,3
,Hungarian,hu_26,,female,25-35,1
,Hungarian,hu_28,,male,25-35,2
,Hungarian,hu_30,,female,25-35,2
,Hungarian,hu_31,,male,25-35,3
,Hungarian,hu_33,,male,35-45,3
,Hungarian,hu_34,,female,25-35,3
,Hungarian,hu_35,,male,35-45,0
,Hungarian,hu_36,,male,25-35,2
,Hungarian,hu_37,,male,25-35,3
,Hungarian,hu_38,,female,35-45,3
,Hungarian,hu_40,,male,25-35,3
,Hungarian,hu_42,,female,25-35,2
,Hungarian,hu_43,,male,25-35,2
,Hungarian,hu_44,,male,25-35,3
,Hungarian,hu_45,,female,<25,3
,Hungarian,hu_46,,female,25-35,3
,Hungarian,hu_47,,male,25-35,2
,Hungarian,hu_48,,male,35-45,2
,Hungarian,hu_49,,male,25-35,3
,Hungarian,hu_50,,male,25-35,2
,Hungarian,hu_51,,male,25-35,3
,Hungarian,hu_52,,male,25-35,3
,Hungarian,hu_53,,male,25-35,2
,Hungarian,hu_54,,male,45-55,0
,Hungarian,hu_55,,female,35-45,3
,Hungarian,hu_56,,female,25-35,1
,Hungarian,hu_58,,female,25-35,3
,Hungarian,hu_60,,female,25-35,3
,Hungarian,hu_62,,male,25-35,1
,Hungarian,hu_64,,male,<25,1
,Hungarian,hu_65,,female,35-45,0
,Hungarian,hu_66,,female,25-35,1
,Hungarian,hu_67,,male,<25,3
,Hungarian,hu_68,,female,35-45,3
,Hungarian,hu_70,,male,25-35,1
,Hungarian,hu_71,,female,25-35,2
,Hungarian,hu_72,,male,<25,2
,Hungarian,hu_73,,female,25-35,3
,Hungarian,hu_74,,male,25-35,3
,Hungarian,hu_76,,male,45-55,3
,Hungarian,hu_77,,female,25-35,3
,Hungarian,hu_78,,male,35-45,3
,Hungarian,hu_79,,female,25-35,2
,Hungarian,hu_80,,male,25-35,2
,Hungarian,hu_81,,female,25-35,3
,Hungarian,hu_82,,male,35-45,2
,Hungarian,hu_83,,female,35-45,3
,Hungarian,hu_84,,female,25-35,2
,Hungarian,hu_85,,female,35-45,2
,Hungarian,hu_86,,female,45-55,3
,Hungarian,hu_87,,female,<25,2
,Hungarian,hu_88,,male,35-45,3
,Hungarian,hu_89,,female,<25,2
,Hungarian,hu_90,,female,25-35,1
,Hungarian,hu_93,,male,25-35,2
,Hungarian,hu_95,,male,35-45,2
,Hungarian,hu_96,,male,25-35,3
,Hungarian,hu_97,,female,35-45,2
,Hungarian,hu_99,,male,35-45,2
chef,Hungarian,hu_1,,male,25-35,0
chef,Hungarian,hu_2,,male,45-55,0
chef,Hungarian,hu_3,,male,25-35,-1
chef,Hungarian,hu_4,,male,35-45,-1
chef,Hungarian,hu_5,,male,25-35,-1
chef,Hungarian,hu_6,,male,25-35,-2
chef,Hungarian,hu_7,,female,35-45,-1
chef,Hungarian,hu_8,,female,45-55,-1
chef,Hungarian,hu_9,,male,25-35,-2
chef,Hungarian,hu_10,,male,35-45,-1
chef,Hungarian,hu_11,,female,45-55,-1
chef,Hungarian,hu_12,,male,25-35,-2
chef,Hungarian,hu_14,,female,25-35,0
chef,Hungarian,hu_15,,female,35-45,-1
chef,Hungarian,hu_16,,female,25-35,-1
chef,Hungarian,hu_17,,female,45-55,-2
chef,Hungarian,hu_18,,female,45-55,0
chef,Hungarian,hu_19,,female,25-35,-1
chef,Hungarian,hu_20,,female,25-35,-1
chef,Hungarian,hu_21,,female,25-35,0
chef,Hungarian,hu_22,,male,25-35,0
chef,Hungarian,hu_23,,male,25-35,0
chef,Hungarian,hu_24,,male,25-35,-1
chef,Hungarian,hu_25,,male,25-35,-1
chef,Hungarian,hu_26,,female,25-35,0
chef,Hungarian,hu_28,,male,25-35,-2
chef,Hungarian,hu_30,,female,25-35,-1
chef,Hungarian,hu_31,,male,25-35,-2
chef,Hungarian,hu_33,,male,35-45,-2
chef,Hungarian,hu_34,,female,25-35,-3
chef,Hungarian,hu_35,,male,35-45,0
chef,Hungarian,hu_36,,male,25-35,0
chef,Hungarian,hu_37,,male,25-35,-3
chef,Hungarian,hu_38,,female,35-45,-2
chef,Hungarian,hu_40,,male,25-35,-2
chef,Hungarian,hu_42,,female,25-35,-1
chef,Hungarian,hu_43,,male,25-35,-1
chef,Hungarian,hu_44,,male,25-35,-1
chef,Hungarian,hu_45,,female,<25,-1
chef,Hungarian,hu_46,,female,25-35,0
chef,Hungarian,hu_47,,male,25-35,-2
chef,Hungarian,hu_48,,male,35-45,-1
chef,Hungarian,hu_49,,male,25-35,-2
chef,Hungarian,hu_50,,male,25-35,-1
chef,Hungarian,hu_51,,male,25-35,0
chef,Hungarian,hu_52,,male,25-35,0
chef,Hungarian,hu_53,,male,25-35,-1
chef,Hungarian,hu_54,,male,45-55,0
chef,Hungarian,hu_55,,female,35-45,-2
chef,Hungarian,hu_56,,female,25-35,-1
chef,Hungarian,hu_58,,female,25-35,-1
chef,Hungarian,hu_60,,female,25-35,0
chef,Hungarian,hu_62,,male,25-35,-2
chef,Hungarian,hu_64,,male,<25,0
chef,Hungarian,hu_65,,female,35-45,-1
chef,Hungarian,hu_66,,female,25-35,-1
chef,Hungarian,hu_67,,male,<25,-2
chef,Hungarian,hu_68,,female,35-45,0
chef,Hungarian,hu_70,,male,25-35,0
chef,Hungarian,hu_71,,female,25-35,-1
chef,Hungarian,hu_72,,male,<25,0
chef,Hungarian,hu_73,,female,25-35,-1
chef,Hungarian,hu_74,,male,25-35,-2
chef,Hungarian,hu_76,,male,45-55,0
chef,Hungarian,hu_77,,female,25-35,-1
chef,Hungarian,hu_78,,male,35-45,-1
chef,Hungarian,hu_79,,female,25-35,0
chef,Hungarian,hu_80,,male,25-35,-2
chef,Hungarian,hu_81,,female,25-35,-2
chef,Hungarian,hu_82,,male,35-45,-2
chef,Hungarian,hu_83,,female,35-45,-2
chef,Hungarian,hu_84,,female,25-35,-1
chef,Hungarian,hu_85,,female,35-45,0
chef,Hungarian,hu_86,,female,45-55,0
chef,Hungarian,hu_87,,female,<25,-2
chef,Hungarian,hu_88,,male,35-45,-2
chef,Hungarian,hu_89,,female,<25,-1
chef,Hungarian,hu_90,,female,25-35,-1
chef,Hungarian,hu_93,,male,25-35,0
chef,Hungarian,hu_95,,male,35-45,-1
chef,Hungarian,hu_96,,male,25-35,-2
chef,Hungarian,hu_97,,female,35-45,-2
chef,Hungarian,hu_99,,male,35-45,0
,Hungarian,hu_1,,male,25-35,0
,Hungarian,hu_2,,male,45-55,-1
,Hungarian,hu_3,,male,25-35,0
,Hungarian,hu_4,,male,35-45,1
,Hungarian,hu_5,,male,25-35,0
,Hungarian,hu_6,,male,25-35,0
,Hungarian,hu_7,,female,35-45,0
,Hungarian,hu_8,,female,45-55,0
